,index,Unnamed: 0,Unnamed: 0.1,budget,genres,imdb_id,popularity,release_date,revenue,runtime,vote_average,vote_count,Year,Rated,Runtime,Genre,Country,Ratings,Metascore,imdbRating,imdbVotes
486,671,10644,10644,76000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt1690953,36.796,2013-06-25,970761885.0,98.0,6.9,8676.0,2013,PG,98 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","USA, France, Japan","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,7.3,"364,374"
487,672,10647,10647,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt3397884,36.739000000000004,2015-09-17,84025816.0,122.0,7.3,5648.0,2015,R,121 min,"Action, Crime, Drama, Mystery, Thriller","USA, Mexico, Hong Kong","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82.0,7.6,"363,951"
488,673,10648,10648,17000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt1924435,36.738,2014-08-13,136621271.0,104.0,6.4,2018.0,2014,R,104 min,"Action, Comedy, Crime",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,6.4,"126,486"
489,674,10649,10649,25130430.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",tt2631186,36.727,2015-07-10,90747520.0,158.0,7.5,430.0,2015,Not Rated,159 min,"Action, Drama",India,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",,8.1,"100,844"
490,678,10658,10658,3500000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",tt6772950,36.551,2018-04-12,95330493.0,100.0,6.0,2889.0,2018,PG-13,100 min,"Horror, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,5.2,"46,126"
491,679,10659,10659,140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",tt0458339,36.489000000000004,2011-07-22,370569774.0,124.0,6.9,15742.0,2011,PG-13,124 min,"Action, Adventure, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,6.9,"728,340"
492,680,10661,10661,75000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 16, 'name': 'Animation'}]",tt1615918,36.476,2011-12-14,342695435.0,87.0,5.7,1470.0,2011,G,87 min,"Animation, Adventure, Comedy, Family, Musical",USA,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24.0,4.3,"30,949"
493,683,10665,10665,4000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",tt7984734,36.421,2019-10-18,17964238.0,109.0,7.6,2076.0,2019,R,109 min,"Drama, Fantasy, Horror, Mystery","Canada, USA","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,7.5,"127,245"
494,684,10667,10667,50000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",tt5117670,36.404,2018-02-07,351266433.0,93.0,6.7,1060.0,2018,PG,95 min,"Adventure, Comedy, Family, Fantasy","USA, Australia, UK","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.6,"34,441"
495,686,10669,10669,9000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}]",tt5827916,36.36,2019-12-11,4612788.0,174.0,7.2,311.0,2019,PG-13,174 min,"Biography, Drama, Romance, War","USA, UK, Germany","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,7.4,"15,914"
496,687,10672,10672,20000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt7343762,36.309,2019-08-14,72457330.0,89.0,6.8,1068.0,2019,R,90 min,"Adventure, Comedy",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.7,"58,023"
497,689,10674,10674,159000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",tt1302006,36.279,2019-11-01,8000000.0,209.0,7.7,4115.0,2019,R,209 min,"Biography, Crime, Drama",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94.0,7.9,"309,531"
498,690,10675,10675,145000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",tt1229238,36.260999999999996,2011-12-07,694713380.0,133.0,7.0,7272.0,2011,PG-13,132 min,"Action, Adventure, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.4,"452,848"
499,691,10678,10678,26000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",tt8079248,36.242,2019-06-27,88092097.0,116.0,6.7,2201.0,2019,PG-13,116 min,"Comedy, Fantasy, Music, Romance","UK, China, Japan, USA","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,6.8,"107,892"
500,692,10679,10679,10000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",tt5690360,36.202,2018-08-10,11817275.0,93.0,4.3,1259.0,2018,PG-13,93 min,"Horror, Mystery, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,3.2,"27,437"
501,695,10684,10684,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt4068576,36.084,2018-09-23,855756.0,136.0,7.3,241.0,2018,R,136 min,"Adventure, Drama, Thriller",Australia,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,7.3,"19,835"
502,698,10688,10688,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",tt4272866,36.019,2015-07-11,490643.0,119.0,8.0,857.0,2015,PG-13,119 min,"Animation, Action, Adventure, Drama, Fantasy",Japan,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,7.7,"19,693"
503,699,10689,10689,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt1211956,35.99,2013-10-09,122915111.0,115.0,6.7,3618.0,2013,R,115 min,"Action, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.7,"224,809"
504,700,10690,10690,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt2139881,35.972,2019-05-02,53847136.0,125.0,6.8,1649.0,2019,R,125 min,"Comedy, Romance","USA, Canada, Colombia","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,6.8,"90,267"
505,703,10694,10694,135000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",tt3949660,35.852,2016-06-01,245623848.0,112.0,6.0,2426.0,2016,PG-13,112 min,"Action, Adventure, Comedy, Sci-Fi","USA, Hong Kong, China, Canada, Denmark, Germany, UK","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,6.0,"83,428"
506,705,10696,10696,38000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt2091256,35.838,2017-06-01,125289450.0,89.0,6.1,811.0,2017,PG,89 min,"Animation, Action, Comedy, Family","USA, Canada, France, UK, India","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,6.2,"24,595"
507,708,10701,10701,3000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt9208444,35.791,2020-02-21,10700000.0,92.0,6.9,66.0,2020,PG-13,92 min,Comedy,USA,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,5.9,"4,300"
508,709,10702,10702,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",tt4846340,35.774,2016-12-10,230698791.0,127.0,8.0,6276.0,2016,PG,127 min,"Biography, Drama, History",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,7.8,"195,010"
509,710,10703,10703,79000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",tt1397514,35.766,2012-01-19,355692760.0,94.0,6.1,2882.0,2012,PG,94 min,"Action, Adventure, Family, Fantasy, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,5.8,"91,795"
510,714,10709,10709,35000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0905372,35.67,2011-10-12,28128670.0,103.0,6.1,1882.0,2011,R,103 min,"Horror, Mystery, Sci-Fi","Canada, USA, UK","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.2,"120,118"
511,715,10713,10713,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt5073620,35.60800000000001,2017-02-10,33673.0,92.0,6.3,594.0,2016,Not Rated,94 min,"Drama, Romance",Canada,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42.0,5.5,"9,995"
512,717,10718,10718,75000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",tt1392170,35.478,2012-03-12,691210692.0,142.0,7.1,17062.0,2012,PG-13,142 min,"Action, Adventure, Sci-Fi, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,7.2,"835,983"
513,720,10724,10724,0.0,"[{'id': 28, 'name': 'Action'}]",tt8648640,35.37,2019-06-13,1000000.0,90.0,6.9,96.0,2019,,89 min,Action,USA,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",,4.2,502
514,722,10726,10726,150000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",tt1646987,35.305,2012-03-27,301970083.0,99.0,5.7,3042.0,2012,PG-13,99 min,"Action, Adventure, Fantasy","Spain, USA","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,5.7,"179,724"
515,723,10728,10728,16000000.0,"[{'id': 18, 'name': 'Drama'}]",tt4257926,35.275,2016-03-17,73983359.0,119.0,7.3,750.0,2016,PG,109 min,"Biography, Drama, Family",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,7.1,"20,995"
516,725,10733,10733,0.0,"[{'id': 35, 'name': 'Comedy'}]",tt5259966,35.24,2016-09-02,12421716.0,100.0,7.7,395.0,2016,PG-13,114 min,"Comedy, Romance","USA, Mexico, Germany","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",,5.5,"1,928"
517,731,10744,10744,170000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt2567026,35.163000000000004,2016-05-25,299457024.0,113.0,6.5,4838.0,2016,PG,113 min,"Adventure, Family, Fantasy","USA, UK","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,6.2,"90,429"
518,732,10745,10745,66190000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",tt4106376,35.148,2017-08-21,2602149.0,105.0,5.7,222.0,2017,PG-13,106 min,"Action, Adventure, Crime, Drama, Thriller, War","France, Belgium, Germany, USA, Malta, Croatia, Netherlands","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33.0,5.4,"8,626"
519,736,10749,10749,50000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt1014763,35.082,2015-03-15,3324330.0,137.0,6.2,1154.0,2015,R,137 min,"Crime, Drama, History, Thriller","Czech Republic, UK, USA, Russia","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,6.5,"64,582"
520,740,10756,10756,70000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",tt2717822,35.016,2015-01-13,17752940.0,133.0,5.4,1385.0,2015,R,133 min,"Action, Crime, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,5.4,"51,512"
521,742,10758,10758,1500000.0,"[{'id': 18, 'name': 'Drama'}]",tt4950110,34.997,2016-10-21,2000000.0,112.0,7.1,139.0,2016,PG-13,112 min,"Biography, Drama",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,5.9,"3,196"
522,743,10759,10759,84000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt1821694,34.963,2013-07-18,148100000.0,116.0,6.5,2883.0,2013,PG-13,116 min,"Action, Adventure, Comedy, Crime, Thriller","USA, France, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.6,"157,673"
523,745,10761,10761,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",tt3398268,34.946,2014-07-19,34949567.0,104.0,8.0,1005.0,2014,PG,103 min,"Animation, Drama, Family, Mystery",Japan,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.7,"31,143"
524,746,10767,10767,23000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt6966692,34.777,2018-11-16,319700000.0,130.0,8.3,7033.0,2018,PG-13,130 min,"Biography, Comedy, Drama, Music","USA, China","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,8.2,"353,416"
525,748,10771,10771,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",tt6914122,34.73,2020-03-27,288064.0,120.0,7.0,125.0,2020,R,120 min,"Biography, Drama, History, War","UK, France, Germany, USA","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,6.2,"3,125"
526,750,10773,10773,35000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt2679042,34.714,2015-08-20,81967450.0,96.0,5.8,2153.0,2015,R,96 min,"Action, Crime, Thriller","USA, UK, Germany, Canada","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28.0,5.7,"84,668"
527,753,10778,10778,60000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt3300542,34.643,2016-03-02,205754447.0,99.0,6.1,3330.0,2016,R,99 min,"Action, Thriller","UK, Bulgaria, USA","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28.0,5.9,"142,272"
528,756,10786,10786,35000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt1179056,34.574,2010-04-30,115664037.0,95.0,5.5,1845.0,2010,R,95 min,"Crime, Drama, Horror, Mystery",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,5.2,"91,609"
529,757,10787,10787,127000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",tt2692250,34.564,2014-12-17,363204635.0,97.0,6.2,4401.0,2014,PG,98 min,"Adventure, Comedy, Family, Fantasy","UK, USA","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.2,"103,893"
530,758,10788,10788,0.0,"[{'id': 28, 'name': 'Action'}]",tt9412268,34.558,2019-02-22,6890000.0,98.0,6.3,73.0,2019,TV-14,98 min,"Action, Drama, Thriller",Vietnam,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"3,731"
