,index,Unnamed: 0,Unnamed: 0.1,budget,genres,imdb_id,popularity,release_date,revenue,runtime,vote_average,vote_count,Year,Rated,Runtime,Genre,Country,Ratings,Metascore,imdbRating,imdbVotes
393,514,10392,10392,5027266.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",tt4731148,42.17100000000001,2017-01-26,19454845.0,117.0,6.4,454.0,2017,R,132 min,"Drama, Romance, Sci-Fi",Russia,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,"10,505"
394,515,10393,10393,50000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt1605630,42.138999999999996,2012-04-04,234989584.0,113.0,6.2,3312.0,2012,R,113 min,Comedy,USA,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.7,"200,867"
395,516,10394,10394,85000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0837562,42.132,2012-09-20,358375603.0,91.0,6.9,6283.0,2012,PG,91 min,"Animation, Comedy, Family, Fantasy",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,7.1,"221,127"
396,518,10399,10399,22000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt1179069,42.005,2010-03-27,851517.0,112.0,5.9,447.0,2010,R,112 min,"Horror, Mystery, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28.0,6.1,"32,042"
397,520,10401,10401,144000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",tt1289401,41.931000000000004,2016-07-14,229147509.0,116.0,5.4,4664.0,2016,PG-13,117 min,"Action, Comedy, Fantasy, Sci-Fi","USA, Australia","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.5,"201,082"
398,521,10402,10402,19800000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",tt2737304,41.909,2018-12-13,0.0,124.0,6.9,7015.0,2018,R,124 min,"Horror, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.6,"272,341"
399,526,10410,10410,3500000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}]",tt3060952,41.663999999999994,2014-02-02,5155325.0,79.0,7.4,638.0,2014,PG-13,79 min,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",,7.3,"29,624"
400,527,10411,10411,125000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",tt7946836,41.553999999999995,2018-06-29,0.0,125.0,7.2,88.0,2018,Not Rated,132 min,"Action, Fantasy, Sci-Fi, Thriller",China,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",,6.5,"3,467"
401,528,10412,10412,19000000.0,"[{'id': 18, 'name': 'Drama'}]",tt7653254,41.541000000000004,2019-11-06,2300000.0,137.0,7.8,4192.0,2019,R,137 min,"Comedy, Drama, Romance","UK, USA","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94.0,8.0,"230,750"
402,529,10413,10413,42000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",tt2119543,41.519,2018-09-15,131457147.0,105.0,6.3,1480.0,2018,PG,105 min,"Comedy, Family, Fantasy, Sci-Fi","USA, Canada, India","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.0,"43,751"
